Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	21.94382	11.486543	93.0	9.0	44.8	6.0630026	53.0	34.0	21.94382	44.8	1999	3.0451431	1.2687489	6.0172567	-0.07183929	3.045357	1.2695645	5.9909186	-0.05197393	-0.6109102	0.3940625	3.0164897	-5.331418	-3.1853018	0.31752396	5.474512815475464
2	26.153847	14.69875	68.0	10.0	227.6	50.650173	312.0	164.0	26.153847	227.6	3999	8.749675	3.0277495	15.950354	-1.1275159	8.749664	3.0321853	15.6013975	-1.5722466	-0.2039664	0.81051385	3.8208938	-9.000077	-9.08872	0.94076246	16.33950114250183
3	21.956043	12.560108	71.0	9.0	179.0	58.869347	287.0	122.0	21.956043	179.0	5999	15.63995	5.034121	24.082901	-5.956171	15.640111	5.0352097	23.851534	-6.6596346	0.07006246	0.852075	4.230329	-9.609176	-16.415829	2.2548041	26.16427969932556
4	22.088888	11.425745	58.0	9.0	148.8	29.123186	187.0	107.0	22.088888	148.8	7999	21.82374	7.23919	31.840809	-7.879188	21.824167	7.23849	32.159843	-9.563894	0.18674809	0.8649872	4.5015936	-9.10347	-22.982872	4.1601877	38.610644578933716
5	21.967392	11.697687	84.0	11.0	124.0	20.38627	158.0	98.0	21.967392	124.0	9999	27.25722	9.316791	37.955555	-10.057154	27.257835	9.313021	38.24773	-11.060473	0.2624066	0.8850653	5.229074	-7.641022	-28.766226	6.251827	50.52368879318237
6	128.0	33.864437	227.0	93.0	143.0	35.681927	216.0	112.0	128.0	143.0	11999	31.931599	10.839603	43.71612	-14.30006	31.93214	10.831208	43.400063	-14.08318	0.24956144	0.8885394	8.40707	-8.791167	-33.509518	7.167227	65.4702079296112
7	108.5	17.670597	136.0	75.0	131.0	33.415565	187.0	90.0	108.5	131.0	13999	34.75758	12.362492	46.762516	-14.601653	34.758244	12.354827	47.042057	-15.566473	0.20178092	0.90235394	12.517639	-10.385296	-36.191273	7.0440702	79.41823315620422
8	156.46153	36.718506	225.0	94.0	174.4	28.657284	231.0	134.0	156.46153	174.4	15999	36.282825	13.621409	49.30564	-51.41446	36.282684	13.617521	49.1943	-51.206482	0.12194182	0.9083563	9.597515	-11.766218	-37.592148	6.0421743	98.57940721511841
9	176.36363	23.985878	225.0	142.0	200.6	36.348866	281.0	148.0	176.36363	200.6	17999	37.039154	14.801932	50.66883	-41.497017	37.038227	14.801848	50.511578	-41.21189	0.11302915	0.90219605	6.468074	-9.740696	-38.22665	5.561462	115.22294354438782
10	198.0	12.992306	233.0	184.0	187.2	19.56425	220.0	155.0	198.0	187.2	19999	37.475258	15.311458	50.969086	-26.831419	37.47438	15.310958	51.16496	-26.833248	0.081000045	0.8981767	7.698313	-10.504963	-38.586113	4.9148417	129.429443359375
11	195.27272	19.836105	232.0	169.0	195.7	20.971647	240.0	173.0	195.27272	195.7	21999	37.526627	15.321981	51.516144	-38.330894	37.5262	15.321116	51.576588	-33.12671	0.03642166	0.8862337	4.594839	-7.645193	-38.538033	4.288646	145.42682218551636
